Device,Group,Module,Name,ID,Brunner_Name,,Scale,Alternate_ID,Annotations,Certainty,State Class,Device Class,Postcall
BHZ3,Status,Unknown,Unknown116,0x1c11200b,,,,,,,measurement,,
BHZ3,Status,HK1,Absenkart,0x1c11200e,HK1-14,,,,0 - 4,,measurement,,
BHZ3,Status,HK1,Sommerbetrieb,0x1c112013,HK1-19,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Status,Unknown,Unknown117,0x1c112015,,,,,,,measurement,,
BHZ3,Status,HK1,Dauerbetrieb,0x1c11201e,HK1-30,h,,,Zählt runter,,measurement,DURATION,
BHZ3,Status,HK1,Abwesenheitszeit,0x1c11201f,HK1-31,d,,,Zählt runter,,measurement,DURATION,
BHZ3,Status,HK1,Programm,0x1c112022,HK1-34,,,,0 - 5,,measurement,,
BHZ3,Status,HK1,Waermer Kaelter,0x1c112024,HK1-36,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Status,Unknown,Unknown118,0x1c112026,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown119,0x1c112027,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown120,0x1c112029,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown121,0x1c11202b,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown122,0x1c11202c,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown123,0x1c11202d,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown124,0x1c11202f,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown125,0x1c11203a,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown126,0x1c112400,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown127,0x1c112404,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown128,0x1c112405,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown129,0x1c112406,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown130,0x1c112407,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown131,0x1c112408,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown132,0x1c11240b,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown133,0x1c11240e,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown134,0x1c112413,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown135,0x1c112415,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown136,0x1c112422,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown137,0x1c112423,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown138,0x1c112424,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown139,0x1c112426,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown140,0x1c112427,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown141,0x1c112429,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown142,0x1c11242b,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown143,0x1c11242c,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown144,0x1c11242d,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown145,0x1c11242f,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown146,0x1c11243a,,,,,,,measurement,,
BHZ3,Status,Zusatzheizung,Unknown147,0x1c114000,,,,,,,measurement,,
BHZ3,Status,Zusatzheizung,Unknown148,0x1c114004,,,,,,,measurement,,
BHZ3,Status,Zusatzheizung,Unknown149,0x1c114005,,,,,,,measurement,,
BHZ3,Leistung,Zusatzheizung,,0x1c114006,,W,100,,,,measurement,POWER,
BHZ3,Status,Zusatzheizung,Unknown150,0x1c114007,,,,,,,measurement,,
BHZ3,Gesamtleistung,Zusatzheizung,Heute,0x1c114009,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,Zusatzheizung,Gestern,0x1c11400a,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,Zusatzheizung,5 Tage ohne Heute,0x1c11400b,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,Zusatzheizung,Letzte 4 Wochen ohne Heute,0x1c11400c,,kWh,1,,,,total_increasing,ENERGY,
BHZ3,Status,Zusatzheizung,6 Monate?,0x1c11400d,,,,,,,measurement,,
BHZ3,Status,Zusatzheizung,Unknown152,0x1c11400e,,,,,,,measurement,,
BHZ3,Status,Zusatzheizung,- 1a,0x1c114015,,,,,,,measurement,,
BHZ3,Status,Zusatzheizung,-2a,0x1c114016,,,,,,,measurement,,
BHZ3,Status,Zusatzheizung,-3a,0x1c114017,,,,,,,measurement,,
