Device,Group,Module,Name,ID,Brunner_Name,,Scale,Alternate_ID,Annotations,Certainty,State Class,Device Class,Postcall
BHZ3,Temperatur,Unknown,Unknown18,0x1c10402a,,°C,0.1,,,,measurement,,
BHZ3,Temperatur,Unknown,Unknown19,0x1c10402d,,°C,0.1,,,,measurement,,
BHZ3,Temperatur,Unknown,Unknown20,0x1c10402e,,°C,0.1,,,,measurement,,
BHZ3,Temperatur,Unknown,Unknown21,0x1c104066,,°C,0.1,,,,measurement,,
BHZ3,Pumpe,WW,,0x1c106002,A03 P.WW ?,,,,Vermutlich Ladepumpe: Werte im Bereich von 30 wenn Badewasser einläuft  sieht geregelt aus.,,measurement,,
BHZ3,Status,Unknown,Unknown22,0x1c106006,A07 P. Zirkulation,,,,,,measurement,,
BHZ3,Status,HK1,Ein Aus,0x1c106008,A09 P. HK 1,,,,Ein=1,Aus=0,measurement,,
BHZ3,Status,HK1,Aus Ein,0x1c10600a,A10/11 M. HK 1,,,,Aus=1,Ein=0,measurement,,
BHZ3,Status,Zusatzheizung,aktiv,0x1c106013,A20 Potenzial frei WE 1,,,0x1c106015,0,1,measurement,,
BHZ3,Status,Unknown,Unknown23,0x1c10601d,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown24,0x1c10601e,,,,,,,measurement,,
BHZ3,Status,Unknown0,Unknown25,0x1c106021,,,,,,,measurement,,
BHZ3,Status,Unknown0,Unknown26,0x1c106022,,,,,,,measurement,,
BHZ3,Status,Unknown0,Unknown27,0x1c106023,,,,,,,measurement,,
BHZ3,Status,Unknown0,Unknown28,0x1c106024,,,,,,,measurement,,
BHZ3,Status,Unknown0,Unknown29,0x1c106025,,,,,,,measurement,,
BHZ3,Status,Unknown0,Unknown30,0x1c106026,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown31,0x1c108010,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown32,0x1c108011,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown33,0x1c108012,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown34,0x1c108018,,,,,,,measurement,,
BHZ3,Status,Festbrennofen,Unknown35,0x1c108019,,,,,,,measurement,,
BHZ3,Leistung,Festbrennofen,,0x1c10801a,,W,100,,,,measurement,POWER,
BHZ3,Gesamtleistung,Festbrennofen,Heute,0x1c10801d,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,Festbrennofen,Gestern,0x1c10801e,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,Festbrennofen,5 Tage ohne Heute,0x1c10801f,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,Festbrennofen,30 Tage ohne Heute,0x1c108020,,kWh,1,,,,total_increasing,ENERGY,
BHZ3,Status,Unknown1,Unknown36,0x1c108029,,,,,,,measurement,,
BHZ3,Status,Unknown1,Unknown37,0x1c10802a,,,,,,,measurement,,
BHZ3,Status,Unknown1,Unknown38,0x1c10802b,,,,,,,measurement,,
BHZ3,Status,Unknown1,Unknown39,0x1c10802c,,,,,,,measurement,,
BHZ3,Status,Unknown1,Unknown40,0x1c10802d,,,,,,,measurement,,
BHZ3,Status,Unknown1,Unknown41,0x1c10802e,,,,,,,measurement,,
BHZ3,Status,Unknown2,Unknown42,0x1c10803a,,,,,,,measurement,,
BHZ3,Status,Unknown2,Unknown43,0x1c10803b,,,,,,,measurement,,
BHZ3,Status,Unknown2,Unknown44,0x1c10803c,,,,,,,measurement,,
BHZ3,Status,Unknown2,Unknown45,0x1c10803d,,,,,,,measurement,,
BHZ3,Status,Unknown2,Unknown46,0x1c10803e,,,,,,,measurement,,
